,bn_pt,m,n,method_1,method_2,ratio
508,17,4,5,apm,itv,0.8411536461458459
509,17,4,5,itv,bnw,0.5271410856434258
510,17,5,1,bnw,apm,0.484779391175647
511,17,5,1,apm,itv,0.9527181087243489
512,17,5,1,itv,bnw,0.4420176807072283
513,17,5,2,bnw,apm,0.6124644985799432
514,17,5,2,apm,itv,0.9908396335853434
515,17,5,2,itv,bnw,0.6056242249689988
516,17,5,3,bnw,apm,0.3563742549701988
517,17,5,3,apm,itv,0.6629065162606504
518,17,5,3,itv,bnw,0.28037121484859395
519,17,5,4,bnw,apm,0.5203008120324814
520,17,5,4,apm,itv,0.8411536461458459
521,17,5,4,itv,bnw,0.5271410856434258
522,17,5,5,bnw,apm,0.8638345533821353
523,17,5,5,apm,itv,0.96971878875155
524,17,5,5,itv,bnw,0.859314372574903
525,18,1,1,bnw,apm,0.969758790351614
526,18,1,1,apm,itv,0.9942797711908476
527,18,1,1,itv,bnw,0.9660386415456619
528,18,1,2,bnw,apm,0.6086643465738629
529,18,1,2,apm,itv,0.7706708268330733
530,18,1,2,itv,bnw,0.4696587863514541
531,18,1,3,bnw,apm,0.6222248889955598
532,18,1,3,apm,itv,0.8871154846193848
533,18,1,3,itv,bnw,0.5722228889155566
534,18,1,4,bnw,apm,0.671186847473899
535,18,1,4,apm,itv,0.9955198207928317
536,18,1,4,itv,bnw,0.6732669306772271
537,18,1,5,bnw,apm,0.624664986599464
538,18,1,5,apm,itv,0.546221848873955
539,18,1,5,itv,bnw,0.4677387095483819
540,18,2,1,bnw,apm,0.6086643465738629
541,18,2,1,apm,itv,0.7706708268330733
542,18,2,1,itv,bnw,0.4696587863514541
543,18,2,2,bnw,apm,0.9880795231809273
544,18,2,2,apm,itv,0.9881995279811192
545,18,2,2,itv,bnw,0.9799591983679348
546,18,2,3,bnw,apm,0.4468978759150366
547,18,2,3,apm,itv,0.6736269450778031
548,18,2,3,itv,bnw,0.3924956998279931
549,18,2,4,bnw,apm,0.44481779271170846
550,18,2,4,apm,itv,0.5121004840193608
551,18,2,4,itv,bnw,0.5343013720548822
552,18,2,5,bnw,apm,0.3228129125165007
553,18,2,5,apm,itv,0.5327413096523861
554,18,2,5,itv,bnw,0.5483419336773471
555,18,3,1,bnw,apm,0.6222248889955598
556,18,3,1,apm,itv,0.8871154846193848
557,18,3,1,itv,bnw,0.5722228889155566
558,18,3,2,bnw,apm,0.4468978759150366
559,18,3,2,apm,itv,0.6736269450778031
560,18,3,2,itv,bnw,0.3924956998279931
561,18,3,3,bnw,apm,0.9745189807592304
562,18,3,3,apm,itv,0.9901996079843194
563,18,3,3,itv,bnw,0.969758790351614
564,18,3,4,bnw,apm,0.39589583583343335
565,18,3,4,apm,itv,0.6797071882875315
566,18,3,4,itv,bnw,0.3329333173326933
567,18,3,5,bnw,apm,0.8305932237289492
568,18,3,5,apm,itv,0.8221528861154446
569,18,3,5,itv,bnw,0.6794671786871475
570,18,4,1,bnw,apm,0.671186847473899
571,18,4,1,apm,itv,0.9955198207928317
572,18,4,1,itv,bnw,0.6732669306772271
573,18,4,2,bnw,apm,0.44481779271170846
574,18,4,2,apm,itv,0.5121004840193608
575,18,4,2,itv,bnw,0.5343013720548822
576,18,4,3,bnw,apm,0.39589583583343335
577,18,4,3,apm,itv,0.6797071882875315
578,18,4,3,itv,bnw,0.3329333173326933
579,18,4,4,bnw,apm,0.9505980239209568
580,18,4,4,apm,itv,0.9856794271770871
581,18,4,4,itv,bnw,0.9437177487099484
582,18,4,5,bnw,apm,0.6677467098683947
583,18,4,5,apm,itv,0.7839913596543862
584,18,4,5,itv,bnw,0.7239489579583184
585,18,5,1,bnw,apm,0.624664986599464
586,18,5,1,apm,itv,0.546221848873955
587,18,5,1,itv,bnw,0.4677387095483819
588,18,5,2,bnw,apm,0.3228129125165007
